variable,modalite,target,effectif,total_modalite,proportion,pourcentage
scholarship_holder,Non,Dropout,1287,3325,0.38706766917293234,38.71
scholarship_holder,Non,Enrolled,664,3325,0.19969924812030077,19.97
scholarship_holder,Non,Graduate,1374,3325,0.4132330827067669,41.32
scholarship_holder,Oui,Dropout,134,1099,0.12192902638762511,12.19
scholarship_holder,Oui,Enrolled,130,1099,0.11828935395814377,11.83
scholarship_holder,Oui,Graduate,835,1099,0.7597816196542311,75.98
debtor,Non,Dropout,1109,3921,0.28283601122162716,28.28
debtor,Non,Enrolled,704,3921,0.17954603417495538,17.95
debtor,Non,Graduate,2108,3921,0.5376179546034175,53.76
debtor,Oui,Dropout,312,503,0.6202783300198808,62.03
debtor,Oui,Enrolled,90,503,0.17892644135188868,17.89
debtor,Oui,Graduate,101,503,0.20079522862823063,20.08
tuition_fees_up_to_date,Non,Dropout,457,528,0.865530303030303,86.55
tuition_fees_up_to_date,Non,Enrolled,42,528,0.07954545454545454,7.95
tuition_fees_up_to_date,Non,Graduate,29,528,0.054924242424242424,5.49
tuition_fees_up_to_date,Oui,Dropout,964,3896,0.24743326488706366,24.74
tuition_fees_up_to_date,Oui,Enrolled,752,3896,0.19301848049281314,19.3
tuition_fees_up_to_date,Oui,Graduate,2180,3896,0.5595482546201233,55.95
