variable,target,n,moyenne,ecart_type,mediane,q1,q3,min,max
admission_grade,Dropout,1421,124.96136523574947,15.125159269361468,123.6,115,133,95,190
admission_grade,Enrolled,794,125.53425692695214,13.792559182088308,124.1,117,133.275,95,190
admission_grade,Graduate,2209,128.79443186962428,14.071439775355174,127.4,119.7,136.4,95,190
curricular_units_1st_sem_approved,Dropout,1421,2.5517241379310347,2.8575879067796475,2,0,4,0,21
curricular_units_1st_sem_approved,Enrolled,794,4.318639798488665,2.2893977167369175,5,3,6,0,15
curricular_units_1st_sem_approved,Graduate,2209,6.232231779085559,2.5833799461662865,6,5,7,0,26
curricular_units_1st_sem_grade,Dropout,1421,7.256655527717994,6.031120078804409,10.928571428571429,0,12.2,0,18
curricular_units_1st_sem_grade,Enrolled,794,11.125257277951548,3.6750838943447954,12,11,12.857142857142858,0,17
curricular_units_1st_sem_grade,Graduate,2209,12.643654533680996,2.699027227143401,13,12.12142857142857,13.857142857142858,0,18.875
curricular_units_2nd_sem_approved,Dropout,1421,1.94018296973962,2.5736907723832347,0,0,4,0,16
curricular_units_2nd_sem_approved,Enrolled,794,4.057934508816121,2.180197190369695,4,3,5,0,12
curricular_units_2nd_sem_approved,Graduate,2209,6.177003168854686,2.2686217885058393,6,5,7,0,20
curricular_units_2nd_sem_grade,Dropout,1421,5.899338850062284,6.118739868529087,0,0,11.833333333333334,0,17.714285714285715
curricular_units_2nd_sem_grade,Enrolled,794,11.117364332910302,3.601240491943387,12,11,12.818181818181818,0,17.6
curricular_units_2nd_sem_grade,Graduate,2209,12.69727584021306,2.6856075571439963,13,12.166666666666666,14,0,18.571428571428573
