variable,target,n,moyenne,ecart_type,mediane,q1,q3,min,max
admission_grade,Dropout,1421,124.96136523574947,15.125159269361468,123.6,115,133,95,190
admission_grade,Enrolled,794,125.53425692695214,13.792559182088308,124.1,117,133.275,95,190
admission_grade,Graduate,2209,128.79443186962428,14.071439775355174,127.4,119.7,136.4,95,190
age_at_enrollment,Dropout,1421,26.06896551724138,8.704023732754834,23,19,30,18,70
age_at_enrollment,Enrolled,794,22.369017632241814,6.30267240840811,20,19,23,17,54
age_at_enrollment,Graduate,2209,21.78361249434133,6.693218189617706,19,18,21,17,62
application_order,Dropout,1421,1.593244194229416,1.215769374518591,1,1,2,1,6
application_order,Enrolled,794,1.6259445843828715,1.2135768013038737,1,1,2,1,9
application_order,Graduate,2209,1.851063829787234,1.3955155922152722,1,1,2,0,6
curricular_units_1st_sem_approved,Dropout,1421,2.5517241379310347,2.8575879067796475,2,0,4,0,21
curricular_units_1st_sem_approved,Enrolled,794,4.318639798488665,2.2893977167369175,5,3,6,0,15
curricular_units_1st_sem_approved,Graduate,2209,6.232231779085559,2.5833799461662865,6,5,7,0,26
curricular_units_1st_sem_credited,Dropout,1421,0.609429978888107,2.1046952270556356,0,0,0,0,18
curricular_units_1st_sem_credited,Enrolled,794,0.5075566750629723,1.7157583773714558,0,0,0,0,14
curricular_units_1st_sem_credited,Graduate,2209,0.8474422815753735,2.6861483834823137,0,0,0,0,20
curricular_units_1st_sem_enrolled,Dropout,1421,5.821252638986629,2.3263036887572905,6,5,6,0,21
curricular_units_1st_sem_enrolled,Enrolled,794,5.964735516372796,1.9876708867848454,6,5,6,0,17
curricular_units_1st_sem_enrolled,Graduate,2209,6.669533725667723,2.6645790871801136,6,6,7,0,26
curricular_units_1st_sem_evaluations,Dropout,1421,7.751583391977481,4.921590042602318,8,5,11,0,31
curricular_units_1st_sem_evaluations,Enrolled,794,9.341309823677582,3.4634654226148474,9,7,11,0,24
curricular_units_1st_sem_evaluations,Graduate,2209,8.27659574468085,3.809907945177237,8,6,9,0,45
curricular_units_1st_sem_grade,Dropout,1421,7.256655527717994,6.031120078804409,10.928571428571429,0,12.2,0,18
curricular_units_1st_sem_grade,Enrolled,794,11.125257277951548,3.6750838943447954,12,11,12.857142857142858,0,17
curricular_units_1st_sem_grade,Graduate,2209,12.643654533680996,2.699027227143401,13,12.12142857142857,13.857142857142858,0,18.875
curricular_units_1st_sem_without_evaluations,Dropout,1421,0.1921182266009852,0.7945907459933454,0,0,0,0,8
curricular_units_1st_sem_without_evaluations,Enrolled,794,0.17758186397984888,0.7414591091665165,0,0,0,0,8
curricular_units_1st_sem_without_evaluations,Graduate,2209,0.0882752376641014,0.5896857769306179,0,0,0,0,12
curricular_units_2nd_sem_approved,Dropout,1421,1.94018296973962,2.5736907723832347,0,0,4,0,16
curricular_units_2nd_sem_approved,Enrolled,794,4.057934508816121,2.180197190369695,4,3,5,0,12
curricular_units_2nd_sem_approved,Graduate,2209,6.177003168854686,2.2686217885058393,6,5,7,0,20
curricular_units_2nd_sem_credited,Dropout,1421,0.44968332160450386,1.6795481362252442,0,0,0,0,16
curricular_units_2nd_sem_credited,Enrolled,794,0.3589420654911839,1.3290343474739332,0,0,0,0,12
curricular_units_2nd_sem_credited,Graduate,2209,0.6668175645088276,2.2117089725987813,0,0,0,0,19
curricular_units_2nd_sem_enrolled,Dropout,1421,5.7804363124560165,2.108249412224575,6,5,6,0,18
curricular_units_2nd_sem_enrolled,Enrolled,794,5.938287153652393,1.8314803825287347,6,5,6,0,17
curricular_units_2nd_sem_enrolled,Graduate,2209,6.628338614757809,2.2971968191401944,6,6,8,0,23
curricular_units_2nd_sem_evaluations,Dropout,1421,7.173821252638986,4.8173736453019105,7,5,10,0,25
curricular_units_2nd_sem_evaluations,Enrolled,794,9.435768261964736,3.566557603865391,9,8,11,0,28
curricular_units_2nd_sem_evaluations,Graduate,2209,8.142145767315528,3.245912021315285,8,6,9,0,33
curricular_units_2nd_sem_grade,Dropout,1421,5.899338850062284,6.118739868529087,0,0,11.833333333333334,0,17.714285714285715
curricular_units_2nd_sem_grade,Enrolled,794,11.117364332910302,3.601240491943387,12,11,12.818181818181818,0,17.6
