axe,eigenvalue,variance.percent,cumulative.variance.percent
Dim.1,5.419902892856266,13.549757232140713,13.549757232140713
Dim.2,2.6706296868904205,6.676574217226075,20.22633144936679
Dim.3,1.7490437992945163,4.372609498236306,24.598940947603094
Dim.4,1.7043612980826577,4.260903245206659,28.859844192809753
Dim.5,1.4696658462735115,3.674164615683792,32.534008808493546
Dim.6,1.372175540890157,3.430438852225405,35.96444766071895
Dim.7,1.175662934910334,2.9391573372758453,38.9036049979948
Dim.8,1.129244831308126,2.823112078270325,41.72671707626512
Dim.9,1.055559715294483,2.6388992882362166,44.365616364501335
Dim.10,1.0420083279139725,2.6050208197849405,46.970637184286275
