variable,classe,nb_modalites
gender,factor,2
age_at_enrollment,numeric,46
displaced,factor,2
educational_special_needs,factor,2
international,factor,2
scholarship_holder,factor,2
debtor,factor,2
tuition_fees_up_to_date,factor,2
daytime_evening_attendance,factor,2
previous_qualification,factor,17
previous_qualification_grade,numeric,101
admission_grade,numeric,620
curricular_units_1st_sem_enrolled,numeric,23
curricular_units_1st_sem_evaluations,numeric,35
curricular_units_1st_sem_approved,numeric,23
curricular_units_1st_sem_grade,numeric,805
curricular_units_1st_sem_without_evaluations,numeric,11
curricular_units_2nd_sem_enrolled,numeric,22
curricular_units_2nd_sem_evaluations,numeric,30
curricular_units_2nd_sem_approved,numeric,20
curricular_units_2nd_sem_grade,numeric,786
curricular_units_2nd_sem_without_evaluations,numeric,10
unemployment_rate,numeric,10
inflation_rate,numeric,9
gdp,numeric,10
