axe,eigenvalue,variance.percent,cumulative.variance.percent
Dim.1,2.938466843173717,9.182708884917902,9.182708884917902
Dim.2,2.3729535591143076,7.415479872232241,16.598188757150144
Dim.3,1.7004221946475675,5.31381935827367,21.912008115423813
Dim.4,1.3960269445426658,4.3625842016958485,26.274592317119662
Dim.5,1.185493320575459,3.704666626798324,29.979258943917984
Dim.6,1.0989202317820121,3.4341257243188017,33.41338466823679
Dim.7,1.0454052338839788,3.266891355887447,36.68027602412423
Dim.8,1.0343540394808872,3.232356373377786,39.91263239750202
Dim.9,1.0226161851283897,3.19567557852623,43.10830797602825
Dim.10,1.0182781857813654,3.1821193305667794,46.29042730659503
