variable,role,type_statistique,classe_R,commentaire
target,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
course,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
curricular_units_2nd_sem_evaluations,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
curricular_units_2nd_sem_approved,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
curricular_units_2nd_sem_grade,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
unemployment_rate,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
inflation_rate,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
gdp,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
application_mode,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
application_order,supplementaire_illustrative,quantitative,numeric,"Variable utilisee uniquement pour l'interpretation, non active."
previous_qualification,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
mothers_qualification,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
fathers_qualification,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
displaced,supplementaire_illustrative,qualitative,factor,"Variable utilisee uniquement pour l'interpretation, non active."
