id_individu,cluster_kmeans,cluster_cah,target,Dim.1,Dim.2,Dim.3
1,3,1,Dropout,-5.763294001927982,-1.3152553283856199,-0.6284585022220944
2,1,2,Graduate,-9.863346332789921e-4,-0.8470178639670607,1.3846631914021825
3,3,1,Dropout,-4.295962769411278,0.4111405061583052,-0.9176643650633757
4,1,2,Graduate,0.7165774929764787,-0.8685989124209252,-1.1049873284580265
5,1,2,Graduate,0.2841746009246905,1.8572569096345095,1.0316054587774315
6,2,2,Graduate,0.137351059331265,6.1048345329452465,0.16197045789609016
7,1,2,Graduate,1.897033435953286,-1.811307998074693,-0.12216650934178669
8,3,1,Dropout,-3.8644312890849624,1.077650823906714,-1.5696240695824895
9,1,2,Graduate,0.8716600505304493,-1.302210974937713,0.49919324869513737
10,1,2,Dropout,0.02457474660428847,0.5781767454907082,-0.6454076983753373
11,1,2,Graduate,0.4043482773618065,-1.5638416839820755,-8.104273294931498e-4
12,1,2,Graduate,1.7482590722439129,-1.5559359342062258,-0.7052194162997706
13,3,1,Dropout,-3.2852867147988416,-0.5439394978161104,-0.48207696139367245
14,1,2,Graduate,0.9714831118994427,-0.7246454473794695,-0.9810927092753747
15,1,2,Graduate,-0.1565826374222409,-2.3913283330018498,0.5081789280511996
16,1,2,Dropout,-1.218745999391847,-0.5405080707917375,-0.9842211065206907
17,1,2,Enrolled,0.015214818881571194,-0.7553435648436841,-0.2053157346479271
18,1,2,Graduate,1.6846911987859006,-1.2469402101151728,-0.2950370781381188
19,1,2,Graduate,-0.10248436062419775,-0.46159349997220916,-0.7881739248839813
20,1,2,Enrolled,0.8933969741243706,-1.2438289718214175,-0.24987231080127761
21,3,1,Graduate,-5.458057250271097,-1.5117702462587252,-0.5888890039781896
22,1,2,Enrolled,1.8594385177557777,-0.4088747764689341,-0.9231886417963637
23,1,2,Graduate,2.1766888557381416,-0.7059097545655749,-0.30258126581510447
24,1,2,Graduate,0.7406572705399811,-1.6177261583251894,-1.233439213693242
25,1,2,Graduate,1.43917011265712,-0.3861159566748795,-0.27891656569549483
26,1,2,Enrolled,0.4571747314710775,-1.340645570555056,1.1485813536577227
27,1,2,Graduate,0.741321442759993,-0.6804667690184055,-1.4511000876073628
28,1,2,Enrolled,0.10366918376538725,-0.8421566900134616,-0.7245067116861978
29,1,2,Graduate,-0.2659090312711077,-1.43787038247059,-0.41226942352276646
30,1,2,Enrolled,0.8394119502374809,-0.6202400542188978,-0.804759121204579
31,1,2,Enrolled,1.3170838720785467,0.4674841305919606,2.6122053777165455
32,1,2,Graduate,0.2748746936878631,-0.7467833660675955,-0.44363719612995933
33,1,2,Enrolled,-1.052730414362861,0.26898355842862703,0.8730239035712274
34,1,2,Graduate,0.5976781641201707,-0.7444899036036974,0.9428004930744016
35,1,2,Graduate,-0.24526761956544607,1.103057065805592,1.5586897940095563
36,3,1,Dropout,-2.444678763339359,3.1860701752168135,-0.596013736898569
37,3,1,Dropout,-4.649003551919902,2.049228961209795,-0.4400349124987186
38,3,2,Dropout,-0.9787983818610123,2.188877433315936,0.5344319608165762
39,1,2,Graduate,-0.4432915607077112,0.8266306410077144,0.054670545348027885
40,1,2,Dropout,-0.13240547705624722,1.7685179779040257,0.42336042675584373
41,3,1,Dropout,-1.888761288503096,0.38390749652411676,-0.4994911284187696
42,1,2,Graduate,-0.021305224347776184,-1.6118343358564864,-0.3927138068096543
43,1,2,Graduate,1.3069996212399102,-0.592040176718729,-2.874280933800024
44,1,2,Dropout,-0.1787995335383908,0.29204789541508264,-0.5934983857667814
45,3,1,Dropout,-4.156262336904843,1.0391876320919031,0.4803237646049655
46,1,2,Enrolled,-0.24387268714312416,0.5451680193735091,1.6721707569680198
47,1,2,Graduate,0.36524677294671615,-1.325604579357603,-0.4888681555885614
48,1,2,Graduate,1.6109049256789907,-1.4525360423040579,-0.2621311750465662
49,1,2,Graduate,0.5316096283259347,-0.33755824990488015,2.2432307476040196
50,1,2,Graduate,0.49990963861842,-1.3569892380983573,0.22299329046258956
51,1,2,Graduate,0.611559361492434,-1.0643268606356635,-0.36240115789554606
52,1,2,Enrolled,1.6195657926126337,-1.2002334726604387,-0.6253756667432039
53,1,2,Enrolled,0.687469103321776,-1.0925113539552933,-1.1145602223017959
54,1,2,Graduate,0.1704062904492417,-1.8541982650030686,2.743664263969954
55,1,2,Dropout,0.20582271057791443,1.0199509792487473,0.620377912804595
56,1,2,Graduate,1.836825887951364,-1.0112625350300524,-0.4866561881784835
57,3,1,Dropout,-2.6154139502771274,2.66137117320515,1.073402515744693
58,1,2,Dropout,2.667936398429894,0.24298847671629734,1.902955043551309
59,1,2,Graduate,2.107996836310565,-1.4286211625029883,0.4379107634185971
60,3,1,Enrolled,-5.568635916547896,-1.6945139883856744,-1.160627382439238
61,1,2,Graduate,1.5402069544038404,-0.14418448512560264,-0.7749875454432812
62,1,2,Graduate,0.6026008842054699,-1.0267437665585775,1.3551131622587602
63,3,1,Enrolled,-5.6067914920800845,-2.0305424142194592,-0.40740408350469015
64,1,2,Enrolled,-0.691137181451759,-0.6435514165186224,-0.4573672026421954
65,3,1,Enrolled,-3.0762801978984675,1.185536762933705,-0.8218255617605422
66,1,2,Dropout,0.5952863520683188,1.5136081214251287,0.15628509537916233
67,3,1,Graduate,-5.599425089562696,-2.121973221217908,-0.09953999017856258
68,1,2,Graduate,0.41618562661412856,-0.5565825484176622,1.0562412493609548
69,1,2,Dropout,-0.45493839054868457,1.425420422677376,-1.258851379405108
70,1,2,Enrolled,0.05134736815493221,0.044513541800417444,0.40950176829530965
71,3,1,Enrolled,-3.181701981770882,0.3168090329505251,0.6792012399394672
72,1,2,Graduate,1.3143969816145673,-0.1468805808695338,1.1893175413155614
73,3,1,Dropout,-5.735048723669649,-1.6753476611977607,0.3751917554216076
74,1,2,Dropout,-0.07256736256414534,0.046990685748380424,-1.7394658228942945
75,1,2,Graduate,0.302458929071834,-0.8528044091568916,0.15020964363297656
76,1,2,Dropout,-0.8187119268425186,0.1750907107923364,-1.3806966373316942
77,1,2,Dropout,-0.33746947636068136,-0.3435288298898449,-2.3335469561107725
78,1,2,Graduate,0.23566921501912128,-0.8849840392499688,-0.9632222028139531
79,1,2,Graduate,1.7488242647113912,-0.960006693100146,1.0553650454403563
80,1,2,Graduate,0.0625584841155069,1.4720365931814197,0.627550206348546
81,1,2,Dropout,0.039451590156381465,-0.42322235106260636,-1.6041810556305982
82,3,1,Dropout,-4.337610741907677,2.217042838922761,2.670322737448508
83,2,2,Dropout,4.228259858362584,1.7834958881798297,6.244261958535881
84,1,2,Enrolled,-0.6533261269426061,-0.3152374859120312,-0.351953817968909
85,1,2,Graduate,0.3784392254650707,0.7730568865644277,-0.020471521052937577
86,1,2,Graduate,1.7831297974685876,-1.973896439402993,1.8986474470006016
87,1,2,Graduate,-0.324077808236082,-0.5620294391573512,-1.3452986944164516
88,1,2,Graduate,0.056910135476302366,-0.20959328387226953,-1.264491896941468
89,1,2,Enrolled,-0.44046346625746363,-1.2381103115136072,0.38778310824991846
90,3,1,Enrolled,-2.125500923759683,0.7631671208969198,-1.8351632505202107
91,3,1,Dropout,-1.8269817399315589,2.0750125092932583,-1.2117999336338217
92,1,2,Graduate,0.10755832390969994,-0.4090906012461056,-0.9716593799325113
93,3,2,Dropout,-1.7178506651899978,0.8737037369872106,-1.0861710946125156
94,3,1,Dropout,-0.9415313111253679,3.4670063225188863,-1.3425593547723464
95,1,2,Graduate,1.1048691054857203,1.9757188897956233,1.1610078483075148
