variable,Dim.1,Dim.2
curricular_units_1st_sem_grade,0.4504913632051034,0.002687932496790359
curricular_units_1st_sem_approved,0.44307724560465533,0.012761779183114193
tuition_fees_up_to_date,0.06900682465187412,0.0015264280187245603
curricular_units_1st_sem_evaluations,0.05428530294549104,0.1392529274309899
gender,0.016812394811037638,7.412332999213898e-5
scholarship_holder,0.013927979653969677,0.004486096300122702
age_at_enrollment,0.011769076535701696,0.10696306049835592
debtor,0.010541670539428774,0.001434055626382859
previous_qualification_grade,0.0016777128938041362,0.09401561187768956
daytime_evening_attendance,0.0012458302865564063,0.039700966229776424
admission_grade,9.913335060981543e-4,0.05353384326126817
