controle,statut,detail
presence fichier outputs/models/04_resultat_famd_principale_reduite.rds,OK,Fichier present.
presence fichier outputs/tables/04_principale_variables_actives.csv,OK,Fichier present.
presence fichier outputs/tables/04_principale_variables_supplementaires.csv,OK,Fichier present.
presence fichier outputs/tables/04_principale_valeurs_propres.csv,OK,Fichier present.
presence fichier outputs/tables/04_principale_contributions_axes_1_2.csv,OK,Fichier present.
presence fichier outputs/tables/04_principale_cos2_variables_axes_1_2.csv,OK,Fichier present.
presence fichier outputs/tables/04_principale_coordonnees_individus.csv,OK,Fichier present.
presence fichier outputs/figures/04_principale_screeplot.png,OK,Fichier present.
presence fichier outputs/figures/04_principale_individus_target.png,OK,Fichier present.
presence fichier outputs/figures/04_principale_barycentres_target.png,OK,Fichier present.
presence fichier outputs/figures/04_principale_variables_top.png,OK,Fichier present.
target jamais active,OK,"Variables actives : previous_qualification_grade, admission_grade, age_at_enrollment, curricular_units_1st_sem_evaluations, curricular_units_1st_sem_approved, curricular_units_1st_sem_grade, daytime_evening_attendance, debtor, tuition_fees_up_to_date, gender, scholarship_holder"
dropout_binary et success_binary jamais actives,OK,Variables derivees actives : 
semestre 2 non actif dans FAMD principale reduite,OK,Variables semestre 2 actives : 
variables economiques non actives dans FAMD principale reduite,OK,Variables economiques actives : 
target disponible comme variable supplementaire,OK,"Variables supplementaires : target, course, curricular_units_2nd_sem_evaluations, curricular_units_2nd_sem_approved, curricular_units_2nd_sem_grade, unemployment_rate, inflation_rate, gdp, application_mode, application_order, previous_qualification, mothers_qualification, fathers_qualification, displaced"
variables du semestre 2 disponibles comme supplementaires,OK,Les variables academiques S2 doivent etre supplementaires uniquement.
variables economiques disponibles comme supplementaires,OK,Les variables economiques doivent etre supplementaires uniquement.
